location,area,bhk,bath,property_type,zone,construction_cost_psqft,architect_fee_lakhs,engineer_fee_lakhs,approval_fee_lakhs,utility_cost_lakhs,gst_lakhs,is_resale,price
Vijay Nagar,2437,5,4,independent,premium,3077,3.34,2.18,1.91,1.07,3.75,0,256.57
New Palasia,2731,2,2,flat,elite,3188,1.72,0.54,0.98,0.46,4.35,0,158.28
Scheme 54,1860,2,2,independent,classic,2272,2.66,0.86,1.56,1.07,2.11,0,127.53
Sudama Nagar,2799,2,2,independent,classic,2556,4.56,1.85,2.24,0.72,3.58,0,139.63
Manglia,1050,3,2,independent,affordable,1650,0.66,0.37,1.39,0.71,0.17,1,40.06
Janki Nagar,1050,3,2,flat,premium,2532,0.34,0.28,0.72,0.44,1.33,1,34.8
Nihalpur Mundi,1355,2,2,independent,classic,2560,1.62,0.53,1.92,0.67,1.73,0,63.0
New Palasia,2680,3,3,flat,elite,2993,1.73,0.91,1.04,0.5,4.01,0,150.63
AB Road,2450,4,4,flat,premium,2118,0.96,0.72,0.97,0.56,2.59,0,104.28
Ring Road,1104,1,1,flat,classic,2298,0.55,0.21,0.62,0.45,1.27,1,37.11
Rau Pithampur Road,1279,2,2,independent,affordable,2333,0.94,0.74,1.05,0.68,0.3,0,56.42
Rajendra Nagar,2595,3,2,independent,premium,2923,5.0,1.32,3.07,1.43,3.79,1,171.23
MG Road,2604,4,3,independent,premium,2944,3.99,1.56,2.28,1.57,3.83,0,213.12
Silicon City,700,2,2,flat,affordable,1732,0.25,0.1,0.36,0.16,0.12,0,18.1
AB Road,1524,3,3,independent,premium,3126,1.87,0.72,2.87,0.94,2.38,1,82.88
Mahalaxmi Nagar,1400,4,3,independent,premium,2941,2.58,0.72,3.08,1.35,2.06,0,114.74
Annapurna Road,1400,4,3,independent,classic,2703,1.73,0.83,1.97,1.06,1.89,1,78.01
Old Palasia,929,2,3,flat,elite,2512,0.47,0.22,0.48,0.62,1.17,1,49.7
Annapurna Road,1511,2,2,independent,classic,2860,1.62,0.75,2.07,0.64,2.16,0,90.84
Sanwer Road,1524,2,2,flat,affordable,1670,0.74,0.33,0.27,0.22,0.25,0,39.33
Musakhedi,1610,2,2,independent,affordable,1776,1.03,0.49,1.27,0.77,0.29,0,67.82
Bijalpur,1415,2,2,independent,classic,2617,1.65,0.75,2.14,1.07,1.85,1,72.29
Scheme 94,2223,3,2,flat,premium,2164,1.15,0.43,0.41,0.39,2.41,0,124.72
Musakhedi,700,2,2,flat,affordable,1791,0.13,0.11,0.23,0.38,0.13,0,18.85
MG Road,1416,2,2,flat,premium,1844,0.27,0.16,0.42,0.4,1.31,0,66.64
Bhawarkuan,1912,3,2,independent,classic,2450,3.09,0.91,1.27,0.87,2.34,1,99.62
Rau,1338,2,2,flat,classic,1569,0.38,0.23,0.62,0.49,1.05,1,42.78
Piplya Kumar,2343,2,2,independent,classic,2845,3.38,1.83,2.14,0.91,3.33,0,146.6
Sneh Nagar,1943,3,2,flat,classic,1595,0.59,0.33,0.37,0.21,1.55,0,68.71
Mahalaxmi Nagar,1095,3,2,flat,premium,2152,0.64,0.28,0.92,0.32,1.18,0,49.11
Aerodrome Road,1400,4,3,flat,classic,2136,0.48,0.44,0.79,0.24,1.49,0,66.52
Khajrana,1387,3,3,independent,affordable,2309,2.16,0.6,1.25,0.83,0.32,0,58.34
Pipliyahana,2769,3,2,independent,classic,2219,2.91,1.58,1.02,0.79,3.07,0,152.4
Khandwa Road,1945,1,1,flat,classic,1610,0.66,0.17,0.58,0.36,1.57,0,70.28
MR 10,1754,3,2,flat,premium,1837,0.33,0.46,0.39,0.41,1.61,0,87.37
Mahalaxmi Nagar,3739,5,4,independent,premium,2532,6.09,2.32,1.86,1.24,4.73,0,259.75
Sukhliya,1209,2,2,flat,classic,1628,0.38,0.1,0.59,0.37,0.98,0,48.37
Talawali Chanda,2715,3,3,independent,classic,2306,2.85,1.4,1.63,1.1,3.13,0,162.94
Khandwa Road,1883,2,2,flat,classic,1612,0.33,0.32,0.69,0.38,1.52,0,61.03
AB Bypass Road,3038,3,3,independent,premium,2817,5.16,1.79,3.12,1.01,4.28,1,212.81
Rau,1174,2,2,independent,classic,2443,1.37,0.6,2.01,1.01,1.43,1,50.02
Nipania,4467,4,3,independent,elite,3896,9.29,4.51,3.84,1.38,8.7,1,368.69
Palhar Nagar,2079,3,2,independent,affordable,2161,1.53,1.19,0.91,0.52,0.45,0,80.75
Scheme 94,2090,3,2,flat,premium,2029,0.59,0.61,0.31,0.4,2.12,1,93.4
Gandhi Nagar,1495,3,3,flat,affordable,1723,0.37,0.38,0.51,0.19,0.26,1,47.69
MR 10,1750,5,4,independent,premium,3169,2.65,1.23,2.72,0.89,2.77,0,156.73
Bhawrasla,1050,3,2,flat,classic,1601,0.42,0.23,0.39,0.32,0.84,0,40.25
Scheme 103,1686,3,2,flat,classic,1535,0.56,0.23,0.45,0.28,1.29,1,48.29
Rau,2563,3,2,independent,classic,1917,3.0,0.98,1.71,1.08,2.46,1,120.4
Scheme 71,872,1,1,flat,classic,1958,0.48,0.13,0.38,0.46,0.85,0,33.86
Scheme 71,1457,1,1,flat,classic,1899,0.35,0.37,0.31,0.35,1.38,0,49.23
Scheme 103,1405,2,2,flat,classic,2018,0.52,0.33,0.58,0.27,1.42,0,50.49
Navlakha,1987,2,2,independent,premium,2878,2.95,1.28,3.07,1.34,2.86,1,100.54
Palhar Nagar,786,2,2,flat,affordable,1686,0.15,0.18,0.53,0.32,0.13,0,22.42
Annapurna Road,1985,2,3,flat,classic,1896,0.48,0.49,0.57,0.43,1.88,0,83.9
Ring Road,754,2,2,flat,classic,1644,0.36,0.11,0.51,0.33,0.62,1,27.45
Aerodrome Road,1400,4,4,independent,classic,2892,1.38,0.86,1.36,1.17,2.02,0,78.05
Bhawarkuan,2991,2,2,independent,classic,2831,3.04,2.07,1.89,0.67,4.23,0,172.69
Gandhi Nagar,1843,2,2,independent,affordable,1849,1.8,1.0,1.36,0.47,0.34,1,76.91
Pipliyahana,1424,3,2,independent,classic,2440,2.03,0.69,1.21,0.61,1.74,0,94.65
AB Bypass Road,2182,3,2,flat,premium,2297,0.68,0.63,0.33,0.59,2.51,1,85.88
Khajrana,815,2,3,independent,affordable,2397,0.74,0.41,0.91,0.83,0.2,1,32.5
Bicholi Hapsi,1275,3,2,flat,classic,1759,0.28,0.22,0.69,0.49,1.12,0,43.53
Ring Road,912,1,1,flat,classic,1543,0.29,0.19,0.72,0.27,0.7,0,31.46
Gandhi Nagar,1507,2,3,independent,affordable,2240,1.08,0.65,1.11,0.89,0.34,1,64.48
Rangwasa,1263,2,3,independent,affordable,1513,1.08,0.38,1.22,0.67,0.19,0,60.04
Silicon City,1449,2,3,independent,affordable,2177,1.45,0.54,1.21,0.88,0.32,0,66.26
Kanadia Road,1400,4,3,independent,classic,2550,2.28,0.7,1.87,1.04,1.78,0,67.36
Khandwa Road,1211,3,3,independent,classic,2239,1.67,0.49,2.11,1.17,1.36,1,68.15
Jetpura,1583,2,3,independent,affordable,1972,1.8,0.55,1.73,0.66,0.31,1,68.32
Tilak Nagar,1637,2,2,flat,classic,1804,0.46,0.39,0.27,0.38,1.48,0,66.06
Sukhliya,2952,2,2,independent,classic,2210,2.45,1.09,1.08,1.05,3.26,1,143.13
Bijalpur,1400,4,3,flat,classic,1716,0.46,0.3,0.64,0.39,1.2,0,54.81
Chandan Nagar,1604,2,3,independent,affordable,2383,1.5,1.09,1.67,0.42,0.38,0,85.77
Piplya Kumar,2545,2,2,independent,classic,2277,2.47,1.34,1.99,1.02,2.9,1,127.25
Tejaji Nagar,903,1,1,flat,affordable,1251,0.3,0.1,0.41,0.19,0.11,1,17.52
Bhawarkuan,2758,2,2,independent,classic,2637,4.2,1.46,1.16,0.94,3.64,0,202.6
Tejaji Nagar,1106,2,2,flat,affordable,1623,0.42,0.19,0.36,0.24,0.18,0,35.05
Manglia,1243,2,2,flat,affordable,1836,0.3,0.27,0.55,0.23,0.23,0,30.12
Sanwer Road,737,2,3,independent,affordable,2026,0.91,0.37,1.75,0.87,0.15,0,30.52
Lasuriya Mori,2680,1,1,independent,classic,2213,3.46,1.53,1.5,1.0,2.97,1,124.7
AB Road,1050,3,2,flat,premium,1961,0.59,0.28,0.84,0.39,1.03,0,42.76
Scheme 94,715,2,2,flat,premium,2181,0.26,0.19,0.35,0.57,0.78,1,33.36
MR 11,1631,3,2,flat,classic,1751,0.74,0.29,0.3,0.37,1.43,0,70.74
Bengali Square,2442,3,2,flat,premium,1923,1.22,0.6,0.47,0.35,2.35,0,130.17
Jetpura,2262,1,1,independent,affordable,1977,2.66,1.25,0.87,0.89,0.45,0,97.03
Scheme 78,1582,2,2,flat,affordable,1659,0.32,0.21,0.33,0.3,0.26,0,54.93
Scheme 136,1390,2,2,flat,premium,2247,0.82,0.23,0.54,0.52,1.56,0,60.93
Bhawrasla,2732,2,2,independent,classic,2525,4.8,1.49,1.1,1.17,3.45,0,172.01
Palasia Square,1368,3,3,flat,classic,1541,0.22,0.24,0.56,0.27,1.05,0,50.55
New Palasia,1372,3,2,flat,elite,2930,0.88,0.23,1.1,0.74,2.01,0,74.1
MR 11,1136,2,3,independent,classic,2597,1.98,0.83,1.43,0.87,1.48,0,77.13
Nipania,4268,4,3,independent,elite,3656,10.27,3.54,3.24,1.11,7.8,0,366.2
Navlakha,2466,4,3,independent,premium,2884,2.75,1.71,2.53,1.1,3.56,0,160.52
Lasuriya Mori,2042,3,3,independent,classic,2886,1.8,1.33,1.77,0.76,2.95,0,109.59
Scheme 103,1358,3,2,flat,classic,1840,0.65,0.15,0.72,0.29,1.25,1,37.71
Saket Nagar,1144,3,2,flat,affordable,1714,0.58,0.28,0.53,0.16,0.2,0,38.1
Dewas Naka,1942,2,2,independent,classic,1963,2.06,0.64,2.19,0.99,1.91,0,109.65
MR 10,1873,3,2,independent,premium,2517,1.93,0.86,2.3,1.53,2.36,1,125.06
Sneh Nagar,1400,4,4,flat,classic,2185,0.77,0.26,0.49,0.41,1.53,0,54.43
Annapurna Road,1224,3,3,flat,classic,1552,0.49,0.18,0.35,0.22,0.95,0,54.21
AB Bypass Road,2996,3,2,independent,premium,2700,3.34,1.95,3.1,1.41,4.04,1,168.3
Palhar Nagar,700,2,3,flat,affordable,1730,0.36,0.13,0.58,0.4,0.12,0,20.86
Piplya Kumar,1744,1,1,flat,classic,1905,0.76,0.48,0.67,0.32,1.66,0,67.07
Nihalpur Mundi,1848,3,2,independent,classic,2410,3.04,1.32,1.8,0.91,2.23,1,85.15
Palasia Square,1050,3,3,flat,classic,2116,0.56,0.26,0.8,0.34,1.11,0,45.56
MG Road,1750,5,4,independent,premium,2676,2.77,0.76,2.76,0.99,2.34,0,156.96
Saket Nagar,1410,1,1,independent,affordable,1980,1.87,0.68,1.37,0.45,0.28,1,50.18
Bhawarkuan,2689,1,1,independent,classic,1971,2.58,0.93,1.21,0.68,2.65,0,172.76
Limbodi,2140,3,2,independent,affordable,1704,1.76,1.0,1.71,0.76,0.36,0,100.34
Scheme 94,1506,4,3,flat,premium,2173,0.53,0.3,0.51,0.34,1.64,0,83.11
AB Bypass Road,2109,4,3,independent,premium,2442,1.57,1.13,1.59,1.33,2.58,1,145.56
Old Palasia,3339,3,2,independent,elite,3940,5.02,3.09,4.45,1.17,6.58,0,357.36
Kanadia Road,1655,1,2,flat,classic,1574,0.53,0.24,0.35,0.25,1.3,0,50.24
Scheme 71,1742,3,2,flat,classic,1799,0.75,0.22,0.27,0.29,1.57,1,72.61
Nihalpur Mundi,1050,3,2,flat,classic,1783,0.54,0.1,0.33,0.33,0.94,0,37.45
Talawali Chanda,1400,4,3,flat,classic,1680,0.45,0.16,0.74,0.3,1.18,0,50.73
Rangwasa,744,2,2,flat,affordable,1234,0.18,0.13,0.6,0.2,0.09,0,20.57
Piplya Kumar,1649,2,2,flat,classic,1691,0.39,0.28,0.75,0.3,1.39,0,73.06
Palasia Square,1567,2,3,flat,classic,2116,0.6,0.44,0.52,0.23,1.66,1,62.83
New Palasia,897,2,3,flat,elite,3052,0.49,0.16,0.83,0.73,1.37,0,49.6
Sanwer Road,941,2,2,independent,affordable,1521,0.65,0.36,0.97,0.47,0.14,0,46.26
MG Road,2099,3,2,flat,premium,2266,1.13,0.6,0.81,0.55,2.38,1,102.29
Janki Nagar,2103,3,2,flat,premium,1854,0.72,0.35,0.99,0.4,1.95,0,92.1
Scheme 78,1758,2,2,independent,affordable,1977,2.0,0.54,1.34,0.4,0.35,1,74.26
Sukhliya,1558,2,2,independent,classic,2532,1.33,1.17,1.95,1.19,1.97,0,87.41
Bicholi Mardana,1117,3,3,independent,premium,3366,2.33,0.92,1.94,1.1,1.88,0,77.29
Pipliyahana,1118,1,2,independent,classic,2825,1.17,0.51,2.32,1.15,1.58,1,60.23
Manglia,1050,3,2,independent,affordable,1621,0.82,0.41,0.78,0.81,0.17,0,45.57
Pipliyahana,1244,2,2,flat,classic,1733,0.56,0.21,0.61,0.26,1.08,0,45.46
Scheme 54,839,2,2,independent,classic,2551,0.68,0.46,1.99,1.19,1.07,0,57.95
Khajrana,1484,2,2,flat,affordable,1805,0.32,0.35,0.3,0.29,0.27,0,50.42
Talawali Chanda,754,2,2,flat,classic,2216,0.48,0.19,0.28,0.42,0.84,1,26.81
Bengali Square,2519,5,4,independent,premium,2518,4.02,1.62,2.57,1.51,3.17,0,224.31
New Palasia,1392,1,1,flat,elite,3182,0.99,0.47,0.9,0.57,2.21,0,88.92
Pipliyahana,1483,3,2,independent,classic,2049,1.33,0.48,2.08,1.17,1.52,1,76.31
MG Road,2323,5,5,independent,premium,2811,2.57,1.0,3.23,1.57,3.27,0,193.07
Sapna Sangeeta Road,4408,3,2,independent,elite,3292,8.11,2.21,2.56,1.21,7.25,1,280.91
Mahalaxmi Nagar,1559,4,3,flat,premium,2219,0.81,0.27,0.49,0.58,1.73,0,76.12
New Palasia,4959,3,2,independent,elite,2950,9.04,2.8,4.17,1.94,7.31,1,469.54
Aerodrome Road,1780,3,2,flat,classic,1981,0.52,0.29,0.59,0.38,1.76,0,79.67
Scheme 94,1962,2,2,flat,premium,2389,0.6,0.69,0.87,0.32,2.34,1,77.96
Khajrana,1031,2,3,flat,affordable,1384,0.23,0.17,0.23,0.38,0.14,1,32.7
Sudama Nagar,1039,2,2,independent,classic,2292,1.06,0.55,2.44,1.14,1.19,0,71.95
Super Corridor,1228,3,2,independent,elite,2870,1.16,0.98,4.47,1.68,1.76,0,107.35
Scheme 103,1552,2,2,flat,classic,1837,0.66,0.28,0.63,0.46,1.43,1,48.18
AB Bypass Road,2918,4,4,independent,premium,2591,4.94,1.94,3.21,1.11,3.78,0,204.48
Tejaji Nagar,536,1,1,flat,affordable,1495,0.17,0.06,0.36,0.23,0.08,0,17.16
New Palasia,3572,2,3,independent,elite,3454,4.52,2.93,4.5,1.15,6.17,0,361.43
Kanadia Road,2290,3,2,independent,classic,2080,2.17,0.88,2.26,1.12,2.38,0,138.4
Bicholi Hapsi,2623,1,2,independent,classic,2845,2.48,1.24,2.27,0.67,3.73,1,126.69
Vijay Nagar,751,2,2,flat,premium,2225,0.3,0.19,0.86,0.35,0.84,0,33.61
Sneh Nagar,1779,3,2,flat,classic,1642,0.67,0.29,0.69,0.22,1.46,0,63.16
Scheme 103,1554,4,4,flat,classic,1812,0.81,0.33,0.57,0.41,1.41,1,57.14
Dewas Naka,1375,1,1,flat,classic,1665,0.41,0.28,0.39,0.41,1.14,0,46.3
Bhawrasla,989,2,2,independent,classic,2530,1.42,0.45,2.26,0.77,1.25,1,52.07
Dewas Naka,1628,1,1,flat,classic,1839,0.59,0.41,0.54,0.31,1.5,1,47.41
Bhawrasla,1050,3,2,flat,classic,2119,0.29,0.25,0.38,0.46,1.11,0,41.83
Khajrana,1050,3,2,independent,affordable,2135,0.95,0.5,1.74,0.41,0.22,0,55.41
Rau Pithampur Road,846,2,3,flat,affordable,1315,0.13,0.15,0.45,0.19,0.11,0,27.56
Scheme 140,4414,3,2,independent,elite,3221,6.33,3.85,2.69,1.21,7.11,1,331.27
Old Palasia,2194,2,2,flat,elite,2359,1.14,0.42,1.09,0.8,2.59,0,121.53
Scheme 136,2213,2,2,flat,premium,2430,1.03,0.81,0.89,0.51,2.69,0,94.11
Bijalpur,1554,3,2,flat,classic,1652,0.41,0.28,0.7,0.27,1.28,0,76.22
Scheme 136,2486,4,4,independent,premium,3186,4.76,1.44,1.73,1.31,3.96,0,183.17
Ring Road,2766,2,3,independent,classic,2191,2.17,1.48,2.0,1.17,3.03,0,131.32
AB Bypass Road,2350,3,2,flat,premium,1842,1.25,0.49,0.91,0.49,2.16,0,103.81
Musakhedi,1597,1,1,flat,affordable,1638,0.69,0.23,0.37,0.18,0.26,1,33.85
Nipania,1400,4,3,flat,elite,2270,0.45,0.37,0.69,0.43,1.59,1,87.87
Nihalpur Mundi,2490,2,3,independent,classic,2159,3.07,1.29,1.25,1.13,2.69,0,128.15
Palasia Square,1522,3,2,flat,classic,1804,0.28,0.3,0.7,0.39,1.37,0,58.36
Dewas Naka,1233,3,2,flat,classic,1529,0.5,0.12,0.45,0.34,0.94,0,44.52
Bicholi Mardana,1411,3,2,independent,premium,2505,2.31,0.81,3.11,1.49,1.77,0,93.97
South Tukoganj,2681,2,2,flat,elite,2957,1.87,0.53,0.45,0.65,3.96,0,175.01
Tilak Nagar,1093,3,2,flat,classic,1585,0.37,0.1,0.55,0.37,0.87,0,43.42
Vijay Nagar,770,2,2,flat,premium,2461,0.45,0.27,0.87,0.45,0.95,0,44.12
AB Bypass Road,2020,2,2,flat,premium,2468,0.9,0.47,0.9,0.52,2.49,1,83.94
Super Corridor,1358,1,1,flat,elite,2372,0.5,0.17,1.13,0.36,1.61,0,74.91
Sapna Sangeeta Road,3318,3,2,flat,elite,2749,1.48,0.9,0.81,0.49,4.56,0,186.02
Bhawrasla,1265,2,3,flat,classic,2026,0.37,0.16,0.48,0.26,1.28,1,45.47
Kanadia Road,2188,4,4,independent,classic,2192,2.46,0.81,1.01,1.15,2.4,0,104.22
Tilak Nagar,1562,2,3,flat,classic,2019,0.67,0.38,0.49,0.23,1.58,0,63.18
Palhar Nagar,1125,2,2,independent,affordable,1869,0.67,0.32,1.75,0.72,0.21,0,50.84
Bhawarkuan,2260,2,3,independent,classic,2881,3.63,1.83,1.9,1.01,3.26,0,158.31
AB Road,1895,2,3,flat,premium,2101,1.15,0.52,0.71,0.34,1.99,1,73.59
MG Road,2242,3,2,flat,premium,2495,1.38,0.56,0.7,0.3,2.8,0,120.38
Chandan Nagar,1009,2,2,independent,affordable,2046,0.93,0.37,1.06,0.72,0.21,0,44.51
Dewas Naka,2165,2,2,independent,classic,2831,4.03,1.05,2.28,1.17,3.06,0,144.04
Ring Road,937,2,3,flat,classic,2091,0.46,0.22,0.51,0.22,0.98,0,31.49
Manglia,1436,2,2,flat,affordable,1319,0.21,0.21,0.47,0.19,0.19,0,40.04
Manglia,1791,1,2,independent,affordable,1711,2.0,0.54,0.72,0.62,0.31,0,77.16
Bicholi Hapsi,1803,3,3,flat,classic,1713,0.54,0.38,0.35,0.36,1.54,0,73.93
Rau,1540,2,3,independent,classic,2453,2.1,0.8,2.36,0.82,1.89,1,69.8
Sanwer Road,525,1,2,flat,affordable,1650,0.11,0.06,0.42,0.16,0.09,0,15.22
Nihalpur Mundi,1337,2,2,independent,classic,2472,1.82,0.91,2.07,0.76,1.65,0,80.66
Rangwasa,1746,3,2,independent,affordable,1658,1.62,0.5,1.23,0.75,0.29,0,61.19
Palhar Nagar,868,2,3,flat,affordable,1415,0.18,0.12,0.32,0.26,0.12,0,26.19
Saket Nagar,945,2,2,independent,affordable,2069,0.95,0.38,1.15,0.79,0.2,1,44.44
Khandwa Road,2675,2,2,independent,classic,2820,4.69,1.29,2.15,1.15,3.77,1,126.82
Scheme 94,1400,4,4,flat,premium,2319,0.79,0.44,0.63,0.6,1.62,0,68.58
Tilak Nagar,1096,3,3,flat,classic,1631,0.27,0.16,0.29,0.38,0.89,0,38.7
Rangwasa,1224,2,2,flat,affordable,1472,0.28,0.14,0.35,0.21,0.18,1,30.12
Sanwer Road,1645,2,3,independent,affordable,1527,1.47,0.41,1.76,0.64,0.25,0,77.44
Geeta Bhawan,2441,4,3,independent,classic,2502,2.93,0.95,1.41,0.61,3.05,0,139.92
Tilak Nagar,968,1,1,flat,classic,1676,0.43,0.2,0.36,0.28,0.81,0,29.36
Super Corridor,2971,5,5,independent,elite,3052,3.98,2.42,4.34,1.07,4.53,0,276.12
AB Road,1750,5,5,independent,premium,3122,1.83,1.51,2.91,1.29,2.73,0,154.58
Bicholi Hapsi,2521,3,2,independent,classic,2005,3.24,0.87,2.04,0.9,2.53,0,163.63
Bicholi Mardana,2503,4,3,independent,premium,3210,5.26,1.52,1.79,1.17,4.02,1,194.79
Bhawarkuan,1767,2,3,independent,classic,2027,2.24,1.03,2.17,1.19,1.79,1,75.32
Pipliyahana,1156,2,2,independent,classic,2239,1.04,0.47,1.3,1.04,1.29,0,74.07
South Tukoganj,2376,3,3,flat,elite,2799,1.87,0.59,0.57,0.52,3.33,1,120.38
Rajendra Nagar,2077,2,2,flat,premium,2407,0.52,0.66,0.31,0.48,2.5,0,86.61
Sukhliya,952,2,2,flat,classic,2232,0.61,0.28,0.41,0.3,1.06,0,44.05
Rau,1400,4,4,flat,classic,1939,0.28,0.27,0.63,0.22,1.36,0,46.92
Rau Pithampur Road,963,2,2,flat,affordable,1873,0.23,0.27,0.2,0.26,0.18,1,23.02
Rau Pithampur Road,1169,3,2,flat,affordable,1715,0.28,0.12,0.24,0.22,0.2,1,32.17
Ring Road,1518,2,2,independent,classic,2431,1.94,0.6,1.75,1.03,1.85,1,66.52
Sukhliya,1050,3,2,flat,classic,1723,0.27,0.16,0.3,0.4,0.9,0,39.74
Sapna Sangeeta Road,1443,2,2,flat,elite,2233,0.73,0.28,0.64,0.74,1.61,0,83.98
Scheme 54,2464,2,2,independent,classic,1903,1.49,0.92,1.33,0.67,2.34,1,133.77
MG Road,2080,3,2,flat,premium,1900,0.91,0.22,0.61,0.44,1.98,1,105.16
MG Road,2139,2,2,flat,premium,2421,1.35,0.66,0.38,0.48,2.59,0,102.06
Agrawal Nagar,1619,2,3,independent,classic,2006,1.11,0.69,1.05,0.75,1.62,1,78.83
Scheme 103,1211,3,2,flat,classic,1569,0.56,0.24,0.37,0.21,0.95,0,39.03
Khajrana,2209,3,2,independent,affordable,2300,2.95,1.27,1.53,0.65,0.51,1,105.5
MR 11,1645,2,2,independent,classic,2503,2.55,1.12,1.09,0.72,2.06,0,93.49
Scheme 140,1150,2,3,flat,elite,2373,0.48,0.36,0.71,0.68,1.36,1,54.13
Pipliyahana,1246,3,3,flat,classic,1780,0.66,0.24,0.7,0.42,1.11,0,49.44
Manglia,1141,2,2,flat,affordable,1496,0.35,0.13,0.39,0.23,0.17,0,35.7
Limbodi,965,2,2,independent,affordable,2111,1.0,0.59,1.45,0.85,0.2,1,35.41
Kanadia Road,2474,3,2,independent,classic,2735,4.12,1.84,1.78,1.15,3.38,0,128.63
Bicholi Mardana,2066,4,3,flat,premium,2146,0.79,0.53,0.72,0.29,2.22,0,112.41
Musakhedi,1243,1,1,flat,affordable,1230,0.35,0.16,0.29,0.36,0.15,0,29.96
Banganga,700,2,2,flat,affordable,1278,0.26,0.11,0.56,0.24,0.09,0,20.43
Limbodi,1050,3,3,flat,affordable,1287,0.35,0.09,0.53,0.18,0.14,0,29.22
Rau,1563,2,3,flat,classic,1870,0.65,0.25,0.41,0.21,1.46,1,43.03
Musakhedi,1375,2,2,independent,affordable,2146,1.6,0.77,0.99,0.75,0.3,0,54.57
Lasuriya Mori,1050,3,2,flat,classic,1545,0.28,0.24,0.79,0.26,0.81,1,28.12
Talawali Chanda,2990,2,2,independent,classic,2435,4.25,1.33,2.07,1.15,3.64,1,147.77
Old Palasia,2603,2,2,independent,elite,3685,4.23,1.87,2.74,1.77,4.8,0,279.91
Limbodi,1050,3,2,flat,affordable,1472,0.38,0.19,0.28,0.24,0.15,1,23.82
Scheme 94,3196,5,4,independent,premium,2768,2.74,2.18,3.26,1.51,4.42,0,223.14
Scheme 94,3123,5,4,independent,premium,2500,4.58,1.97,3.13,0.83,3.9,1,225.12
Vijay Nagar,845,2,3,flat,premium,2221,0.47,0.23,0.44,0.41,0.94,0,43.57
Aerodrome Road,1400,4,3,independent,classic,2564,1.52,0.97,1.73,0.69,1.79,0,101.64
Scheme 140,1165,3,3,flat,elite,2602,0.4,0.33,0.62,0.76,1.52,0,69.45
Palasia Square,1222,3,2,flat,classic,1983,0.25,0.13,0.62,0.47,1.21,0,46.65
Tilak Nagar,2689,3,2,independent,classic,2839,2.62,1.3,1.54,0.85,3.82,0,183.95
Talawali Chanda,1400,4,3,flat,classic,2101,0.79,0.35,0.39,0.49,1.47,0,48.17
Bhawarkuan,1371,1,1,independent,classic,2255,1.24,0.59,1.61,1.02,1.55,1,66.26
Lasuriya Mori,1151,3,2,flat,classic,1969,0.53,0.12,0.38,0.33,1.13,0,41.23
Scheme 140,4296,4,3,independent,elite,3855,8.66,3.06,3.16,1.73,8.28,0,332.77
Banganga,776,1,2,flat,affordable,1759,0.4,0.19,0.42,0.24,0.14,0,24.09
Silicon City,720,1,1,flat,affordable,1338,0.27,0.14,0.48,0.18,0.1,0,19.92
Pipliyahana,2174,2,3,independent,classic,2814,2.74,1.53,1.34,0.74,3.06,0,116.27
Geeta Bhawan,1233,1,1,flat,classic,1577,0.58,0.24,0.49,0.39,0.97,1,44.22
Scheme 78,620,1,2,flat,affordable,1813,0.14,0.11,0.29,0.33,0.11,0,20.3
Rau Pithampur Road,1322,1,1,independent,affordable,2285,1.28,0.57,1.7,0.4,0.3,0,69.99
MR 10,1400,4,3,independent,premium,2583,2.01,0.72,3.19,0.9,1.81,0,105.66
Janki Nagar,3853,5,4,independent,premium,2685,6.13,1.98,2.87,1.11,5.17,0,269.28
Palasia Square,884,2,2,flat,classic,2229,0.36,0.22,0.48,0.33,0.99,0,33.54
Gandhi Nagar,1050,3,2,flat,affordable,1479,0.29,0.2,0.41,0.18,0.16,0,38.91
Manglia,1050,3,2,flat,affordable,1435,0.34,0.13,0.48,0.4,0.15,0,27.87
Vijay Nagar,3745,4,3,independent,premium,2844,7.19,2.07,2.35,1.41,5.32,0,361.16
Navlakha,3290,5,5,independent,premium,2835,5.12,2.33,2.5,0.96,4.66,0,295.16
Piplya Kumar,1616,2,2,flat,classic,1677,0.35,0.22,0.65,0.25,1.36,0,55.76
South Tukoganj,4711,3,3,independent,elite,2900,6.21,2.82,4.19,1.15,6.83,1,405.21
Janki Nagar,1830,3,2,flat,premium,2016,0.88,0.28,0.55,0.32,1.84,0,101.92
Scheme 140,2174,3,3,independent,elite,3284,4.52,1.94,3.45,1.37,3.57,1,155.12
Sudama Nagar,1264,3,2,flat,classic,2097,0.56,0.15,0.35,0.27,1.33,1,43.3
Sapna Sangeeta Road,3004,3,2,flat,elite,2616,1.98,0.87,1.12,0.71,3.93,1,150.94
Rau Pithampur Road,1150,1,1,flat,affordable,1604,0.24,0.24,0.32,0.34,0.18,0,34.94
Tilak Nagar,1470,4,3,flat,classic,2297,0.63,0.47,0.43,0.36,1.69,0,53.49
Jetpura,1050,3,2,flat,affordable,1494,0.46,0.13,0.46,0.23,0.16,1,27.96
South Tukoganj,2069,2,3,flat,elite,2795,1.59,0.62,0.68,0.7,2.89,0,124.98
Rau,2512,3,2,independent,classic,2555,3.12,1.42,1.57,1.16,3.21,1,107.86
Bhawrasla,2578,4,3,independent,classic,2033,2.38,1.53,2.33,0.91,2.62,0,159.53
Ring Road,2127,3,2,independent,classic,2771,3.28,1.21,2.35,1.05,2.95,1,112.56
