location,area,bhk,bath,property_type,zone,construction_cost_psqft,architect_fee_lakhs,engineer_fee_lakhs,approval_fee_lakhs,utility_cost_lakhs,gst_lakhs,is_resale,price
Jayanagar,4388,4,4,independent,ultra_premium,3109,5.21,2.9,3.16,1.2,6.82,0,879.97
JP Nagar,3063,4,3,independent,premium,3869,7.51,3.0,2.76,1.12,5.93,1,444.79
Jayanagar,2691,2,2,flat,ultra_premium,2790,1.71,0.57,1.66,0.94,3.75,1,303.07
BTM Layout,1490,4,3,independent,premium,3878,3.39,1.24,2.31,1.1,2.89,0,242.09
Mysore Road,1281,3,2,flat,mid,2395,0.67,0.17,0.59,0.46,1.53,1,56.97
Mysore Road,1050,3,2,flat,mid,1798,0.47,0.15,0.62,0.41,0.94,0,66.14
Jayanagar,3193,4,4,independent,ultra_premium,4953,8.83,4.59,3.41,2.22,7.91,0,590.89
Thanisandra,1711,3,2,independent,premium,2940,3.36,0.88,1.98,1.3,2.52,0,175.69
Jayanagar,2855,4,4,flat,ultra_premium,3046,1.85,0.44,0.67,0.72,4.35,0,434.45
Nelamangala,1146,2,2,independent,affordable,1971,1.0,0.54,1.84,0.9,0.23,0,63.49
Kengeri,1955,2,3,independent,mid,2747,1.72,1.11,2.11,1.4,2.69,1,111.26
Hoskote,1723,3,2,independent,affordable,2154,2.3,0.76,1.37,0.62,0.37,0,120.8
Kengeri,2312,3,2,independent,mid,2263,1.96,1.46,3.37,0.66,2.62,0,191.11
Ulsoor,1050,3,2,flat,ultra_premium,3714,1.01,0.56,1.52,0.85,1.95,1,99.23
Kengeri,1310,3,2,flat,mid,1714,0.53,0.11,0.49,0.37,1.12,1,77.74
Bagalur,925,2,2,flat,affordable,1350,0.17,0.07,0.39,0.33,0.12,0,38.51
Bannerghatta Road,1050,3,3,flat,premium,3003,0.66,0.33,1.13,0.52,1.58,0,96.38
JP Nagar,1401,4,4,flat,premium,2582,1.01,0.29,1.43,0.53,1.81,0,117.94
HSR Layout,2673,3,2,flat,premium,2474,1.57,0.61,1.15,0.45,3.31,0,341.24
Bagalur,1049,2,2,flat,affordable,1730,0.52,0.11,0.7,0.36,0.18,0,46.42
Attibele,1847,3,2,independent,affordable,2497,2.08,1.3,1.04,0.64,0.46,1,87.93
MG Road,2602,5,4,independent,ultra_premium,3538,4.51,2.26,5.5,1.34,4.6,0,753.19
Bellandur,1822,2,2,flat,premium,2478,0.98,0.65,0.57,0.55,2.26,1,114.08
Basavanagudi,4735,4,3,independent,ultra_premium,4912,9.18,6.57,2.79,1.27,11.63,1,890.82
KR Puram,2337,3,2,independent,mid,2107,3.21,1.4,3.2,1.01,2.46,0,187.53
Marathahalli,2171,3,2,flat,premium,2266,0.71,0.71,1.45,0.8,2.46,0,186.59
Marathahalli,2135,4,3,independent,premium,2641,2.4,1.59,2.74,1.41,2.82,0,232.36
Chandapura,1295,2,2,flat,affordable,1742,0.57,0.14,0.39,0.2,0.23,0,40.15
Bellandur,3763,4,3,independent,premium,2570,2.92,2.39,2.93,1.17,4.84,0,386.51
HSR Layout,1515,3,2,flat,premium,2390,0.48,0.3,0.52,0.48,1.81,0,171.62
Marathahalli,2487,3,2,flat,premium,2594,1.87,0.8,1.23,0.32,3.23,0,206.32
Banashankari,1650,3,2,independent,mid,2413,2.65,0.69,1.33,0.99,1.99,1,184.15
Banashankari,1050,3,2,independent,mid,2359,1.05,0.41,1.32,1.06,1.24,0,99.87
Kengeri,2976,3,3,independent,mid,2544,2.34,1.64,3.47,1.14,3.78,0,196.97
Vidyaranyapura,1050,3,2,independent,mid,2251,0.8,0.5,2.01,1.03,1.18,0,96.61
Ramamurthy Nagar,1319,3,2,flat,affordable,1841,0.34,0.27,0.57,0.37,0.24,0,62.48
Frazer Town,1336,3,2,flat,ultra_premium,3063,0.92,0.26,1.59,0.54,2.05,0,117.94
Hebbal,1050,3,3,independent,premium,3815,2.07,0.74,4.1,1.4,2.0,1,144.76
Kengeri,1381,3,3,flat,mid,2287,0.77,0.37,0.41,0.3,1.58,1,54.89
Tumkur Road,2214,2,2,independent,mid,2140,2.78,0.81,3.36,0.85,2.37,0,207.82
Rajarajeshwari Nagar,2056,3,2,flat,mid,1809,0.98,0.27,1.15,0.37,1.86,1,97.86
Hoodi,1211,2,2,independent,mid,2014,1.04,0.54,2.58,1.35,1.22,1,95.87
Frazer Town,4945,4,3,independent,ultra_premium,3862,7.93,4.59,2.65,1.32,9.55,1,776.36
JP Nagar,2786,5,5,independent,premium,3816,3.63,2.21,3.9,1.29,5.32,1,369.14
Sarjapur Road,3525,4,3,independent,premium,2623,3.89,1.7,3.29,1.22,4.62,0,403.1
Yelahanka,2180,3,2,independent,mid,2505,3.06,1.22,2.8,1.28,2.73,1,184.67
Basavanagudi,1050,3,2,flat,ultra_premium,3637,0.6,0.31,1.71,0.43,1.91,0,136.97
Ramamurthy Nagar,2088,3,2,independent,affordable,1869,2.29,0.76,1.01,0.45,0.39,0,132.08
Attibele,716,2,2,flat,affordable,1605,0.17,0.14,0.67,0.21,0.11,1,21.27
Malleshwaram,1756,3,3,independent,premium,2864,2.07,1.43,3.06,1.25,2.51,0,322.59
MG Road,4189,3,3,independent,ultra_premium,4792,12.83,3.96,3.33,2.48,10.04,0,1057.02
KR Puram,1431,2,2,independent,mid,2799,1.49,0.88,2.37,0.68,2.0,1,110.67
Thanisandra,1050,3,2,flat,premium,2661,0.36,0.31,1.43,0.4,1.4,0,76.92
Ramamurthy Nagar,1518,1,2,flat,affordable,1435,0.28,0.25,0.5,0.41,0.22,1,64.29
Bannerghatta Road,1625,3,2,flat,premium,2026,0.85,0.19,1.49,0.64,1.65,0,115.22
Rajarajeshwari Nagar,1853,3,2,flat,mid,1861,0.67,0.29,0.8,0.32,1.72,0,80.97
Bellandur,3977,4,3,independent,premium,3124,5.05,2.43,2.53,1.38,6.21,0,700.31
MG Road,2528,3,2,flat,ultra_premium,3282,0.94,1.1,1.32,0.47,4.15,1,414.0
Jigani,1137,1,1,flat,affordable,1736,0.49,0.14,0.57,0.2,0.2,1,40.94
Sarjapur Road,1400,4,3,independent,premium,3195,1.62,1.07,3.81,1.73,2.24,0,179.74
Horamavu,3197,2,2,independent,mid,2009,2.61,1.84,2.68,1.39,3.21,1,241.58
Jigani,1629,3,2,flat,affordable,1444,0.26,0.28,0.72,0.41,0.24,0,65.54
Devanahalli,990,2,2,flat,affordable,1392,0.28,0.14,0.32,0.49,0.14,0,46.37
Frazer Town,2938,4,3,independent,ultra_premium,4008,3.6,2.41,4.3,2.3,5.89,0,525.65
Malleshwaram,2925,3,2,independent,premium,3743,4.54,1.95,4.42,1.55,5.47,0,508.92
JP Nagar,1799,3,2,flat,premium,2922,1.42,0.67,1.13,0.56,2.63,0,137.06
Rajajinagar,2303,3,2,flat,ultra_premium,3166,0.76,0.58,1.2,0.43,3.65,0,336.07
KR Puram,1963,1,1,independent,mid,2138,1.68,1.14,2.27,1.33,2.1,0,136.29
Basavanagudi,1677,3,2,independent,ultra_premium,4791,2.5,1.49,2.6,1.64,4.02,0,254.55
Koramangala,1938,4,3,flat,ultra_premium,3296,1.21,0.67,1.31,0.45,3.19,0,344.59
Hoodi,1713,2,2,flat,mid,2419,0.82,0.42,0.73,0.53,2.07,0,115.78
Horamavu,2110,3,2,flat,mid,2184,0.78,0.59,0.5,0.45,2.3,1,108.81
Jigani,1391,3,2,independent,affordable,2256,1.3,0.72,1.87,0.47,0.31,0,64.9
Nelamangala,2086,3,2,independent,affordable,2337,1.53,0.99,1.73,0.52,0.49,1,109.74
Hoskote,1769,1,1,flat,affordable,1641,0.34,0.16,0.53,0.45,0.29,0,62.64
Attibele,2434,2,2,independent,affordable,1651,2.51,0.88,1.43,0.57,0.4,0,136.18
Whitefield,3698,4,3,independent,premium,3826,6.8,3.94,1.93,1.03,7.07,0,678.29
TC Palaya,760,2,2,flat,affordable,1301,0.29,0.1,0.73,0.45,0.1,0,26.01
Tumkur Road,1674,2,2,independent,mid,2265,1.48,0.78,1.91,0.84,1.9,0,172.82
Bagalur,852,2,2,flat,affordable,1757,0.37,0.15,0.53,0.26,0.15,1,38.87
Hebbal,2963,4,4,independent,premium,3904,3.91,2.9,2.16,1.69,5.78,0,368.41
Sarjapur Road,953,1,1,flat,premium,2392,0.56,0.14,1.16,0.46,1.14,0,84.84
Thanisandra,1750,3,2,flat,premium,2179,0.82,0.44,1.22,0.43,1.91,1,108.77
Indiranagar,1750,5,5,flat,ultra_premium,3474,1.35,0.62,0.88,0.51,3.04,1,323.29
Koramangala,1300,3,2,flat,ultra_premium,3967,1.09,0.42,0.65,0.95,2.58,0,239.82
Tumkur Road,2951,3,2,independent,mid,2283,2.73,1.14,3.08,0.93,3.37,1,287.65
Electronic City,1371,2,3,flat,mid,2435,0.68,0.23,0.61,0.38,1.67,0,74.72
Thanisandra,2365,4,3,independent,premium,3892,4.04,1.83,3.34,1.12,4.6,0,346.66
Koramangala,1750,5,4,flat,ultra_premium,2621,0.85,0.55,0.67,0.95,2.29,0,245.02
JP Nagar,2732,4,4,flat,premium,2359,1.87,0.4,0.85,0.75,3.22,0,217.26
Ulsoor,1510,3,2,flat,ultra_premium,2606,0.61,0.32,1.73,0.57,1.97,0,180.24
JP Nagar,2763,4,3,flat,premium,2827,2.2,1.14,0.53,0.8,3.91,1,193.62
Mysore Road,2628,2,3,independent,mid,2205,2.6,1.04,1.86,1.21,2.9,0,265.35
Jigani,899,2,2,flat,affordable,1951,0.41,0.11,0.37,0.28,0.18,0,30.26
Nelamangala,1050,3,2,flat,affordable,1300,0.16,0.17,0.75,0.27,0.14,0,31.32
Bannerghatta Road,1400,4,3,independent,premium,3545,2.07,1.15,3.51,1.43,2.48,0,199.92
Sarjapur Road,1890,4,3,independent,premium,3162,1.95,1.26,3.87,1.72,2.99,0,230.98
Hoskote,1791,1,2,flat,affordable,1533,0.76,0.19,0.34,0.48,0.27,1,66.3
Chandapura,1287,3,2,independent,affordable,2305,1.39,0.45,0.88,0.69,0.3,1,53.68
Hebbal,1958,4,3,flat,premium,2192,1.04,0.52,1.47,0.45,2.15,0,206.11
Mysore Road,1050,3,2,independent,mid,2791,1.65,0.75,3.48,0.91,1.47,0,91.7
Koramangala,1400,4,3,independent,ultra_premium,3783,2.72,0.85,3.19,1.91,2.65,0,323.64
Tumkur Road,1465,3,2,flat,mid,2173,0.75,0.37,0.76,0.49,1.59,1,57.5
Chandapura,2324,2,2,independent,affordable,2430,2.16,0.93,1.67,0.84,0.56,0,127.52
Jigani,725,2,2,flat,affordable,1673,0.24,0.15,0.54,0.47,0.12,0,25.7
Hoodi,1290,3,2,flat,mid,2162,0.36,0.15,0.83,0.33,1.39,1,90.69
Banashankari,1050,3,2,flat,mid,1690,0.47,0.1,0.63,0.27,0.89,0,64.28
Koramangala,2506,3,2,flat,ultra_premium,3731,2.15,0.66,0.93,0.53,4.67,0,417.34
Ramamurthy Nagar,1371,2,2,flat,affordable,1860,0.47,0.29,0.44,0.24,0.25,0,48.3
Rajarajeshwari Nagar,1996,3,2,independent,mid,2703,3.32,1.47,1.66,0.92,2.7,0,131.68
HSR Layout,2400,4,3,independent,premium,3462,5.05,1.42,4.05,0.91,4.15,1,418.63
Frazer Town,3142,4,4,independent,ultra_premium,3362,6.27,1.98,3.97,1.3,5.28,0,554.97
Mysore Road,1704,2,3,flat,mid,2145,0.89,0.48,1.14,0.39,1.83,0,86.12
Frazer Town,2215,3,3,flat,ultra_premium,3504,2.04,0.59,0.96,0.4,3.88,0,257.72
Jigani,1809,2,2,independent,affordable,1962,1.45,0.65,1.3,0.8,0.35,0,98.32
Rajajinagar,1604,3,3,independent,ultra_premium,3476,3.7,1.23,3.9,2.19,2.79,1,276.18
Bannerghatta Road,2307,5,5,independent,premium,2755,3.94,1.42,3.35,1.03,3.18,1,265.07
Horamavu,1050,3,2,flat,mid,1752,0.23,0.2,0.44,0.56,0.92,0,64.53
Ulsoor,2494,4,4,flat,ultra_premium,2516,1.51,0.38,1.53,0.7,3.14,0,280.33
JP Nagar,1561,3,2,independent,premium,3921,1.94,1.76,3.44,1.63,3.06,0,225.39
Horamavu,1400,4,3,flat,mid,2063,0.84,0.39,1.14,0.38,1.44,0,99.13
Nelamangala,1577,1,1,flat,affordable,1843,0.43,0.24,0.41,0.48,0.29,1,39.24
Banashankari,2895,3,3,independent,mid,3141,4.77,1.61,2.67,0.66,4.55,0,378.13
Hennur,1146,3,2,flat,premium,2777,0.77,0.36,1.45,0.4,1.59,0,104.18
Sarjapur Road,1776,2,2,flat,premium,2012,0.84,0.35,0.66,0.46,1.79,1,158.24
Sarjapur Road,2062,3,2,flat,premium,2007,0.95,0.29,1.39,0.73,2.07,1,113.38
Electronic City,1189,2,2,flat,mid,1944,0.55,0.25,0.44,0.28,1.16,1,68.02
Yelahanka,1612,1,1,flat,mid,2209,0.65,0.19,0.68,0.53,1.78,0,89.18
Hennur,3270,3,2,independent,premium,3080,6.26,2.09,2.35,0.96,5.04,1,314.65
Frazer Town,2259,4,4,flat,ultra_premium,3967,2.28,0.54,1.53,0.5,4.48,0,253.93
Whitefield,2268,2,2,independent,premium,3732,4.42,1.5,3.06,1.77,4.23,0,389.86
Rajarajeshwari Nagar,901,1,1,flat,mid,1846,0.27,0.09,0.63,0.28,0.83,0,54.36
Bannerghatta Road,3554,3,3,independent,premium,2622,5.66,1.6,4.19,1.38,4.66,0,418.1
Banashankari,2883,1,2,independent,mid,3177,4.1,2.69,3.03,0.95,4.58,0,298.45
Basavanagudi,4969,3,3,independent,ultra_premium,3225,9.52,3.07,4.42,1.64,8.01,0,1055.73
Indiranagar,4089,5,4,independent,ultra_premium,4312,6.54,4.09,5.45,2.42,8.82,1,953.11
Bannerghatta Road,1050,3,3,independent,premium,2509,0.83,0.66,3.21,1.64,1.32,1,113.72
Jayanagar,1781,4,3,independent,ultra_premium,3488,3.49,1.12,3.45,1.49,3.11,1,310.97
Ulsoor,3606,5,4,independent,ultra_premium,3449,6.05,2.36,4.7,2.03,6.22,0,599.19
BTM Layout,2100,2,2,flat,premium,2079,0.77,0.22,1.12,0.51,2.18,1,152.19
Hennur,2329,2,2,flat,premium,2622,0.62,0.62,0.6,0.63,3.05,0,183.26
Chandapura,639,1,1,flat,affordable,1794,0.15,0.12,0.4,0.35,0.11,1,15.68
Bannerghatta Road,1195,3,3,independent,premium,3671,2.71,0.83,3.23,1.76,2.19,1,147.04
Tumkur Road,2488,2,2,independent,mid,2453,2.69,1.23,3.32,0.64,3.05,0,229.97
Mysore Road,1243,3,3,flat,mid,2449,0.4,0.35,1.05,0.57,1.52,1,61.4
Hoodi,2370,2,3,independent,mid,3193,3.55,1.86,2.31,1.18,3.78,0,295.53
Rajajinagar,2624,2,2,flat,ultra_premium,3936,1.86,1.38,0.83,0.8,5.16,0,382.17
Jigani,640,1,2,flat,affordable,1879,0.25,0.15,0.47,0.42,0.12,1,19.24
Rajarajeshwari Nagar,1050,3,2,flat,mid,2333,0.28,0.32,0.79,0.25,1.22,1,44.92
Varthur,2647,2,3,independent,mid,2511,2.68,1.76,2.08,1.2,3.32,1,187.24
JP Nagar,2503,2,2,flat,premium,3111,1.33,0.75,1.48,0.4,3.89,1,191.69
Hennur,2037,2,2,flat,premium,2805,1.14,0.81,1.11,0.32,2.86,1,141.21
Indiranagar,2161,4,3,independent,ultra_premium,4930,5.28,1.84,3.53,1.74,5.33,0,452.11
Hebbal,2795,3,2,flat,premium,3006,2.28,1.12,1.3,0.48,4.2,1,221.03
Bannerghatta Road,3481,5,5,independent,premium,3937,8.21,3.8,2.76,1.4,6.85,0,463.43
Yelahanka,2759,3,2,independent,mid,2985,2.86,2.06,2.68,1.32,4.12,1,179.02
Malleshwaram,2647,3,2,flat,premium,2078,0.98,0.36,0.73,0.61,2.75,1,230.49
Jayanagar,2711,3,2,flat,ultra_premium,3361,1.63,0.48,1.3,0.41,4.56,0,280.16
Bannerghatta Road,813,2,2,flat,premium,2054,0.24,0.12,0.92,0.41,0.83,0,53.57
Whitefield,2615,2,2,flat,premium,3098,1.15,0.94,0.58,0.6,4.05,1,250.42
Frazer Town,1957,5,4,independent,ultra_premium,3853,3.6,1.89,3.45,2.09,3.77,0,279.94
Ramamurthy Nagar,2278,3,2,independent,affordable,2010,1.53,1.33,0.91,0.54,0.46,0,196.2
Vidyaranyapura,1050,3,2,flat,mid,2311,0.46,0.33,0.42,0.28,1.21,0,65.1
Yelahanka,1345,1,1,flat,mid,1854,0.26,0.17,0.68,0.59,1.25,0,92.48
Thanisandra,1845,3,2,independent,premium,3252,2.67,1.05,4.14,1.25,3.0,0,288.91
TC Palaya,1354,2,2,flat,affordable,1781,0.26,0.13,0.32,0.41,0.24,0,44.25
Tumkur Road,1919,2,3,flat,mid,2233,1.25,0.28,1.09,0.4,2.14,0,94.65
Thanisandra,2244,5,4,independent,premium,3348,4.77,1.15,3.97,1.75,3.76,1,216.26
Indiranagar,4865,5,4,independent,ultra_premium,4053,6.8,2.97,4.41,1.87,9.86,0,1245.47
Varthur,1532,2,2,flat,mid,1996,0.7,0.37,0.54,0.59,1.53,0,75.66
Ulsoor,2287,3,2,flat,ultra_premium,3026,1.21,0.72,0.6,0.54,3.46,1,248.54
Malleshwaram,2554,2,3,flat,premium,3137,2.2,0.6,1.36,0.55,4.01,0,336.93
KR Puram,1400,4,3,independent,mid,2670,1.46,1.09,2.8,0.79,1.87,1,137.94
Ulsoor,1438,3,2,flat,ultra_premium,3855,0.63,0.31,1.71,0.79,2.77,0,165.62
Basavanagudi,3065,4,3,flat,ultra_premium,2679,1.36,1.08,1.32,0.64,4.11,0,479.18
Banashankari,1373,1,1,flat,mid,1827,0.44,0.14,0.87,0.46,1.25,1,67.07
Sarjapur Road,1831,5,4,independent,premium,3021,1.92,0.86,3.76,1.48,2.77,1,192.1
Whitefield,2061,2,2,flat,premium,2825,0.69,0.83,1.07,0.48,2.91,0,229.41
Varthur,3140,4,3,independent,mid,2657,3.22,2.33,2.23,1.16,4.17,0,258.89
Hoskote,1746,2,2,flat,affordable,1884,0.89,0.3,0.74,0.42,0.33,0,76.93
Ramamurthy Nagar,1078,2,3,independent,affordable,2410,1.28,0.61,1.34,0.79,0.26,1,67.86
Sarjapur Road,2117,3,2,flat,premium,2307,0.74,0.71,1.14,0.38,2.44,0,165.54
Rajarajeshwari Nagar,2643,3,3,independent,mid,2895,2.6,2.15,1.87,0.92,3.83,0,213.12
Rajarajeshwari Nagar,1400,4,3,flat,mid,1768,0.32,0.32,0.74,0.6,1.24,0,84.33
MG Road,3334,3,2,flat,ultra_premium,2625,2.42,1.14,1.21,0.98,4.38,0,535.13
Basavanagudi,3398,3,2,independent,ultra_premium,4051,4.49,4.07,3.58,1.82,6.88,0,613.46
JP Nagar,1656,3,3,independent,premium,2615,2.43,0.97,2.17,1.74,2.16,0,217.54
Bagalur,992,1,2,flat,affordable,1301,0.3,0.08,0.78,0.38,0.13,0,41.08
HSR Layout,3639,3,2,independent,premium,3299,5.49,2.33,4.02,1.31,6.0,0,643.59
Bannerghatta Road,1050,3,2,flat,premium,2220,0.61,0.23,1.3,0.55,1.17,0,107.24
Sarjapur Road,1469,4,3,independent,premium,3506,2.51,1.04,4.13,1.67,2.58,1,124.39
MG Road,1778,4,4,flat,ultra_premium,3982,1.35,0.84,0.77,0.69,3.54,1,195.37
BTM Layout,2537,4,3,independent,premium,3810,4.67,1.69,4.04,1.19,4.83,0,398.0
HSR Layout,2723,3,2,flat,premium,3120,2.44,1.2,1.05,0.48,4.25,1,256.16
Frazer Town,1750,5,4,flat,ultra_premium,3440,1.03,0.9,1.18,0.69,3.01,0,184.18
Devanahalli,2050,2,2,independent,affordable,2126,2.97,0.99,1.0,0.67,0.44,0,116.21
Nelamangala,922,1,1,independent,affordable,2060,1.09,0.4,1.71,0.59,0.19,0,59.03
Ramamurthy Nagar,2477,2,2,independent,affordable,1992,1.63,1.37,2.19,0.7,0.49,0,187.07
Bannerghatta Road,1482,3,2,flat,premium,2389,0.73,0.22,0.63,0.65,1.77,0,130.21
TC Palaya,1106,1,1,independent,affordable,1930,0.71,0.53,1.57,0.47,0.21,0,61.11
Rajarajeshwari Nagar,2016,2,2,flat,mid,2467,0.8,0.47,0.63,0.5,2.49,0,80.44
HSR Layout,2051,3,2,flat,premium,2364,1.32,0.62,1.43,0.42,2.42,0,260.32
Ulsoor,2053,5,5,flat,ultra_premium,3068,1.01,0.6,1.58,0.96,3.15,0,283.69
Hoodi,2954,3,3,independent,mid,2855,4.4,2.22,1.29,0.62,4.22,1,299.04
TC Palaya,1590,2,2,flat,affordable,1925,0.54,0.41,0.56,0.46,0.31,0,52.2
Indiranagar,2696,3,3,independent,ultra_premium,3736,4.69,2.76,4.7,2.2,5.04,1,480.99
MG Road,1780,4,4,flat,ultra_premium,3184,0.99,0.35,1.1,0.85,2.83,1,184.07
Hoskote,1051,2,3,independent,affordable,2221,1.26,0.4,2.12,0.64,0.23,1,46.71
KR Puram,1400,4,4,flat,mid,1981,0.65,0.16,0.67,0.26,1.39,0,74.99
Hennur,2010,3,3,independent,premium,2962,3.93,1.41,3.81,1.42,2.98,1,177.53
Marathahalli,1781,3,2,flat,premium,2814,1.09,0.53,1.36,0.35,2.51,1,110.22
Rajarajeshwari Nagar,2053,1,1,flat,mid,2416,1.36,0.6,0.42,0.37,2.48,0,101.2
Frazer Town,1525,3,3,flat,ultra_premium,2750,1.25,0.55,0.94,0.44,2.1,1,127.08
Bellandur,2433,5,4,independent,premium,3575,4.69,1.58,4.1,1.28,4.35,0,316.24
Nelamangala,873,1,1,independent,affordable,1600,0.6,0.26,1.34,0.62,0.14,0,52.18
Marathahalli,1117,3,3,flat,premium,2981,0.64,0.43,1.15,0.3,1.67,1,81.17
Frazer Town,1681,3,2,flat,ultra_premium,3729,1.3,0.85,0.86,0.76,3.13,1,155.76
Rajarajeshwari Nagar,2394,2,2,independent,mid,2286,3.7,1.08,2.0,1.08,2.74,0,216.72
Ramamurthy Nagar,1962,2,2,independent,affordable,1784,1.54,0.62,1.22,0.51,0.35,1,124.08
Jigani,1877,3,2,independent,affordable,2255,1.99,0.98,2.09,0.8,0.42,0,125.61
Thanisandra,1981,3,2,independent,premium,2509,2.41,0.76,4.25,1.37,2.49,1,230.74
Bagalur,1089,2,2,independent,affordable,2035,1.25,0.35,1.21,0.88,0.22,0,74.61
Electronic City,1651,1,1,flat,mid,2402,1.06,0.39,0.61,0.3,1.98,0,99.26
Varthur,1880,4,3,flat,mid,1923,0.6,0.28,0.84,0.53,1.81,1,100.09
Frazer Town,3204,3,2,independent,ultra_premium,3252,5.33,1.98,2.56,2.14,5.21,1,400.16
Banashankari,1050,3,3,independent,mid,2496,1.54,0.74,1.62,1.15,1.31,0,108.4
Varthur,1400,4,3,flat,mid,1794,0.69,0.27,1.16,0.45,1.26,1,77.18
Jigani,827,2,2,flat,affordable,1798,0.29,0.18,0.52,0.34,0.15,0,22.93
Hennur,1750,5,4,independent,premium,3166,3.65,1.39,3.47,1.54,2.77,0,206.01
Whitefield,1901,3,3,flat,premium,2775,0.79,0.71,1.01,0.37,2.64,0,149.77
Ulsoor,3302,5,5,flat,ultra_premium,3174,2.8,1.12,1.8,0.57,5.24,1,240.92
Bellandur,1193,2,2,flat,premium,2689,0.87,0.31,0.58,0.58,1.6,1,70.54
Yelahanka,2145,3,2,flat,mid,2087,0.65,0.33,1.02,0.59,2.24,1,117.42
Frazer Town,2990,3,2,flat,ultra_premium,3885,2.43,0.89,1.44,0.8,5.81,0,306.99
Hoodi,1605,2,3,flat,mid,2063,0.98,0.24,0.98,0.4,1.66,0,92.55
Jigani,2422,1,1,independent,affordable,1793,2.66,1.06,1.11,0.86,0.43,1,98.98
Nelamangala,1278,3,2,independent,affordable,1685,0.72,0.54,1.34,0.93,0.22,0,67.02
Koramangala,1750,5,5,independent,ultra_premium,4580,2.48,1.99,4.81,1.69,4.01,1,400.81
Koramangala,3312,4,3,flat,ultra_premium,3065,2.66,1.51,0.78,0.76,5.08,0,443.82
HSR Layout,1024,2,2,flat,premium,2572,0.67,0.2,0.98,0.8,1.32,0,92.51
KR Puram,915,2,2,independent,mid,2997,0.98,0.64,2.84,1.29,1.37,0,85.53
Hebbal,1480,2,2,independent,premium,2915,1.47,0.7,2.74,1.45,2.16,0,213.89
TC Palaya,1059,2,2,flat,affordable,1886,0.33,0.19,0.4,0.28,0.2,0,37.89
Attibele,1618,1,2,flat,affordable,1482,0.6,0.17,0.5,0.28,0.24,1,39.43
Hoodi,1337,2,2,flat,mid,1886,0.76,0.27,0.47,0.43,1.26,1,73.45
Whitefield,1042,2,2,flat,premium,3098,0.55,0.29,0.52,0.44,1.61,0,77.07
Bagalur,1610,3,2,independent,affordable,1756,1.29,0.75,2.07,1.0,0.28,0,139.92
Rajarajeshwari Nagar,2086,2,2,independent,mid,3151,3.57,1.2,2.79,0.76,3.29,1,129.68
Rajarajeshwari Nagar,1436,4,3,flat,mid,2241,0.59,0.39,0.94,0.25,1.61,1,47.01
Bellandur,2009,3,2,flat,premium,2713,0.56,0.41,1.16,0.32,2.72,1,139.38
Marathahalli,1412,3,2,independent,premium,3993,1.91,1.57,3.1,1.64,2.82,0,171.91
Tumkur Road,700,2,2,flat,mid,2391,0.17,0.13,0.44,0.48,0.84,1,32.31
Ramamurthy Nagar,1097,3,2,flat,affordable,1740,0.43,0.19,0.46,0.4,0.19,0,47.98
KR Puram,1504,2,2,independent,mid,2976,1.57,1.0,2.32,0.88,2.24,0,140.1
Devanahalli,1993,3,2,independent,affordable,2422,1.96,0.81,1.46,0.65,0.48,0,145.46
Bagalur,1636,1,1,flat,affordable,1631,0.38,0.36,0.47,0.31,0.27,0,87.97
BTM Layout,2710,3,3,flat,premium,3035,1.08,0.83,1.1,0.53,4.11,1,163.71
Hoodi,2172,2,2,flat,mid,2150,0.49,0.48,1.01,0.27,2.34,0,176.58
Frazer Town,3196,3,3,flat,ultra_premium,2911,1.53,1.18,1.56,0.63,4.65,0,280.77
Banashankari,1400,4,4,flat,mid,2395,0.61,0.26,0.56,0.43,1.68,0,92.34
Bagalur,1552,2,2,flat,affordable,1495,0.37,0.18,0.38,0.33,0.23,0,92.93
Rajarajeshwari Nagar,1702,2,2,flat,mid,2055,0.92,0.37,0.79,0.44,1.75,0,110.52
Thanisandra,3666,5,4,independent,premium,3725,7.67,3.77,4.35,1.15,6.83,1,450.01
Sarjapur Road,1532,2,2,flat,premium,2246,0.79,0.46,0.97,0.66,1.72,0,110.37
Kengeri,2472,3,2,independent,mid,2161,2.0,1.42,2.58,1.0,2.67,0,187.33
Rajarajeshwari Nagar,1050,3,2,independent,mid,3107,1.99,0.6,2.27,1.11,1.63,0,100.95
Yelahanka,1601,3,3,flat,mid,1978,0.54,0.38,0.89,0.26,1.58,1,79.53
Marathahalli,2546,3,2,flat,premium,3125,1.44,0.85,1.29,0.65,3.98,0,226.64
Tumkur Road,1354,2,3,independent,mid,2898,2.32,0.93,3.18,1.1,1.96,0,112.84
Hoskote,1159,3,2,flat,affordable,1389,0.41,0.16,0.73,0.26,0.16,0,50.29
Kengeri,1474,3,2,flat,mid,2408,0.47,0.4,1.02,0.35,1.77,0,87.11
Hebbal,3358,2,2,independent,premium,3755,4.66,2.03,2.88,1.42,6.3,0,445.31
Banashankari,1817,2,2,flat,mid,2409,0.6,0.38,1.09,0.42,2.19,1,107.09
Hennur,2203,2,2,flat,premium,2335,0.86,0.54,0.6,0.62,2.57,1,162.99
Jigani,1208,2,2,independent,affordable,2422,0.9,0.87,1.31,0.93,0.29,1,66.12
MG Road,1582,4,3,independent,ultra_premium,3520,2.44,1.6,3.37,1.81,2.78,0,409.97
Malleshwaram,2158,4,3,independent,premium,3295,4.03,1.44,4.49,1.41,3.55,0,344.4
